ITEM: TIMESTEP
5811
ITEM: NUMBER OF ATOMS
2272
ITEM: BOX BOUNDS pp pp pp
-2.1977204902229017e+00 1.2859395849022266e+02
2.2466831253964842e-02 1.8034138168745997e+01
3.5896127169245312e-02 1.1384103872830766e+01
ITEM: ATOMS id type x y z c_eng
2038 1 123.176 3.71535 0.0564491 -4.11517
1283 1 122.28 6.41729 2.89574 -4.12546
1286 1 124.099 5.50112 1.47231 -4.13902
2093 1 122.28 6.41729 0.0586854 -4.12546
1205 1 127.862 3.75799 1.44959 -4.09935
1202 1 125.931 4.56282 2.88477 -4.02523
1291 1 126.722 6.39878 1.46919 -3.90023
2039 1 125.931 4.56282 0.0477188 -4.02523
170 1 -0.973872 8.9605 1.43684 -4.02516
175 1 0.860284 9.87045 2.84955 -4.14166
253 1 -1.7655 10.812 2.85368 -3.91134
174 1 1.78457 8.06771 1.42838 -4.11535
177 1 3.59619 8.94584 2.84217 -4.11827
259 1 2.68274 10.7545 1.42614 -4.1258
180 1 6.32183 8.01579 2.83635 -4.1306
181 1 5.41006 9.82409 1.41854 -4.11669
266 1 7.2217 10.7002 2.82944 -4.11587
184 1 8.14998 8.89612 1.42122 -4.08319
186 1 9.95483 9.77773 2.89307 -3.96944
187 1 9.95483 9.77773 0.056014 -3.96944
105 1 12.9748 7.26907 2.4789 -3.84133
188 1 10.9287 7.80565 1.21511 -3.97599
897 1 12.1553 9.75383 2.14476 -3.84132
191 1 15.1752 7.2451 1.73051 -3.96936
189 1 14.2015 9.21724 3.40853 -3.97603
190 1 14.2015 9.21724 0.571478 -3.97603
194 1 16.1127 9.9284 1.82104 -3.99799
192 1 16.98 8.12665 3.20234 -4.08298
193 1 16.98 8.12665 0.365292 -4.08298
197 1 18.8078 9.0068 1.78721 -4.12998
278 1 17.9087 10.8258 3.21264 -4.11622
279 1 17.9087 10.8258 0.375589 -4.11622
198 1 20.6261 9.88888 3.20205 -4.1233
199 1 20.6261 9.88888 0.365 -4.1233
201 1 21.5362 8.07841 1.78137 -4.12104
283 1 22.4433 10.7692 1.77893 -4.12229
202 1 23.3522 8.95813 3.19511 -4.12145
203 1 23.3522 8.95813 0.358061 -4.12145
204 1 26.0767 8.02644 3.188 -4.12185
205 1 25.1686 9.838 1.77184 -4.12167
206 1 26.0767 8.02644 0.350948 -4.12185
289 1 26.985 10.7179 3.18563 -4.12175
290 1 26.985 10.7179 0.34858 -4.12175
209 1 27.8932 8.90642 1.76474 -4.12181
211 1 29.7097 9.78639 3.17853 -4.12179
212 1 29.7097 9.78639 0.341474 -4.12179
210 1 30.6179 7.97492 1.75763 -4.12178
214 1 32.4344 8.85488 3.17142 -4.12178
215 1 32.4344 8.85488 0.334368 -4.12178
297 1 31.5262 10.6664 1.75526 -4.12179
216 1 34.2509 9.73484 1.74816 -4.12179
217 1 35.1591 7.92336 3.16431 -4.12179
219 1 35.1591 7.92336 0.327262 -4.12179
301 1 36.0674 10.6148 3.16195 -4.12179
302 1 36.0674 10.6148 0.324893 -4.12179
218 1 36.9756 8.80332 1.74105 -4.12179
223 1 38.7921 9.68328 3.15484 -4.12179
224 1 38.7921 9.68328 0.317788 -4.12179
222 1 39.7003 7.87181 1.73395 -4.12179
226 1 41.5168 8.75177 3.14773 -4.12179
228 1 41.5168 8.75177 0.310682 -4.12179
309 1 40.6086 10.5632 1.73158 -4.12179
227 1 43.3333 9.63173 1.72447 -4.12179
232 1 44.2415 7.82025 3.14063 -4.12179
233 1 44.2415 7.82025 0.303576 -4.12179
313 1 45.1498 10.5117 3.13826 -4.12179
314 1 45.1498 10.5117 0.301208 -4.12179
231 1 46.058 8.70022 1.71737 -4.12179
234 1 48.7827 7.7687 1.71026 -4.12179
235 1 47.8745 9.58018 3.13115 -4.12179
236 1 47.8745 9.58018 0.294102 -4.12179
319 1 49.691 10.4601 1.70789 -4.12179
238 1 50.5992 8.64866 3.12405 -4.12178
241 1 50.5992 8.64866 0.286996 -4.12178
239 1 53.324 7.71715 3.11694 -4.12177
240 1 52.4157 9.52862 1.70078 -4.12178
242 1 53.324 7.71715 0.279891 -4.12177
245 1 55.1404 8.59707 1.69368 -4.12176
326 1 54.2322 10.4086 3.11457 -4.12187
327 1 54.2322 10.4086 0.277521 -4.12187
246 1 57.865 7.66474 1.68652 -4.12178
248 1 56.9567 9.47743 3.10749 -4.12403
250 1 56.9567 9.47743 0.270433 -4.12403
247 1 59.6748 8.55764 3.09999 -4.00083
249 1 59.6748 8.55764 0.262938 -4.00083
331 1 58.7757 10.3559 1.68436 -4.08817
252 1 61.5541 9.36145 1.67498 -3.90585
1295 1 63.9595 9.57398 1.65003 -3.93741
1293 1 64.8433 7.73128 3.06809 -3.91012
1294 1 64.8433 7.73128 0.231039 -3.91012
1296 1 65.7827 10.4868 3.06343 -3.99193
1297 1 65.7827 10.4868 0.226374 -3.99193
1298 1 66.5765 8.63582 1.64681 -3.90988
1299 1 68.8797 8.54304 1.61241 -3.90002
1300 1 69.6709 10.3792 3.03392 -4.02531
1301 1 69.6709 10.3792 0.196869 -4.02531
1302 1 70.6222 7.62395 3.0294 -4.04796
1303 1 70.6222 7.62395 0.192345 -4.04796
1304 1 71.5031 9.44084 1.60931 -4.13901
1305 1 73.3221 8.52466 3.02294 -4.12547
1306 1 73.3221 8.52466 0.185888 -4.12547
1307 1 74.235 10.3167 1.60201 -4.11917
1308 1 75.1377 7.61158 1.59968 -4.12352
1309 1 76.0464 9.40583 3.01584 -4.12074
1310 1 76.0464 9.40583 0.178787 -4.12074
1311 1 78.7649 10.2902 3.00878 -4.122
1312 1 77.8588 8.49438 1.59261 -4.12144
1313 1 78.7649 10.2902 0.171728 -4.122
1314 1 79.6716 7.58273 3.00642 -4.12166
1315 1 79.6716 7.58273 0.169373 -4.12166
1316 1 80.5779 9.3784 1.58554 -4.12186
1317 1 82.3909 8.46661 2.99936 -4.12181
1318 1 82.3909 8.46661 0.16231 -4.12181
1319 1 83.2974 10.2622 1.57848 -4.12177
1320 1 84.2039 7.55484 1.57613 -4.1218
1321 1 85.1104 9.35041 2.9923 -4.12178
1322 1 85.1104 9.35041 0.155246 -4.12178
1323 1 86.9233 8.43864 1.56906 -4.12179
1324 1 88.7363 7.52688 2.98288 -4.12179
1325 1 88.7363 7.52688 0.145829 -4.12179
1326 1 87.8298 10.2342 2.98524 -4.12179
1327 1 87.8298 10.2342 0.148183 -4.12179
1328 1 89.6428 9.32246 1.562 -4.12179
1329 1 91.4557 8.41069 2.97582 -4.12179
1330 1 91.4557 8.41069 0.138765 -4.12179
1331 1 92.3622 10.2063 1.55494 -4.12179
1332 1 93.2687 7.49893 1.55258 -4.12179
1333 1 94.1751 9.2945 2.96875 -4.12179
1334 1 94.1751 9.2945 0.131702 -4.12179
1335 1 95.9881 8.38274 1.54552 -4.12179
1336 1 97.8011 7.47097 2.95934 -4.12179
1337 1 97.8011 7.47097 0.122285 -4.12179
1338 1 96.8946 10.1783 2.96169 -4.12179
1339 1 96.8946 10.1783 0.124639 -4.12179
1340 1 98.7075 9.26655 1.53846 -4.12179
1341 1 100.52 8.35478 2.95227 -4.12179
1342 1 100.52 8.35478 0.115222 -4.12179
1343 1 101.427 10.1504 1.53139 -4.12179
1344 1 102.333 7.44302 1.52904 -4.12179
1345 1 103.24 9.2386 2.94521 -4.12179
1346 1 103.24 9.2386 0.108159 -4.12179
1347 1 105.053 8.32683 1.52198 -4.12179
1348 1 105.959 10.1224 2.93815 -4.12179
1349 1 105.959 10.1224 0.101096 -4.12179
1350 1 106.866 7.41507 2.93579 -4.12179
1351 1 107.772 9.21064 1.51491 -4.12179
1352 1 106.866 7.41507 0.0987418 -4.12179
1353 1 111.398 7.38711 1.5055 -4.1218
1354 1 109.585 8.29888 2.92873 -4.12179
1355 1 109.585 8.29888 0.0916789 -4.12179
1356 1 110.492 10.0945 1.50785 -4.12178
1357 1 112.305 9.1827 2.92167 -4.12177
1358 1 112.305 9.1827 0.0846161 -4.12177
1359 1 115.024 10.0665 2.91461 -4.12186
1891 1 114.118 8.27095 1.49843 -4.12174
2144 1 115.024 10.0665 0.0775532 -4.12186
1276 1 115.93 7.35922 2.91225 -4.12166
1279 1 118.651 8.24269 2.90519 -4.12238
1364 1 116.837 9.15464 1.49137 -4.122
2088 1 115.93 7.35922 0.0751994 -4.12166
2090 1 118.651 8.24269 0.0681347 -4.12238
1282 1 120.464 7.33037 1.48195 -4.12351
1366 1 119.556 10.039 1.48431 -4.12074
1367 1 121.367 9.12816 2.89814 -4.11917
2149 1 121.367 9.12816 0.0610886 -4.11917
1284 1 124.98 7.31799 2.88928 -4.04801
2095 1 124.98 7.31799 0.0522239 -4.04801
1288 1 123.176 8.21827 1.47498 -4.11517
1371 1 124.099 10.004 2.89084 -4.13902
2152 1 124.099 10.004 0.0537863 -4.13902
1292 1 127.862 8.26091 2.86811 -4.09935
1377 1 125.931 9.06573 1.46624 -4.02523
256 1 -0.973872 13.4634 2.85536 -4.02516
257 1 -0.0245806 11.7031 1.4327 -4.03228
342 1 0.860284 14.3734 1.43102 -4.14166
260 1 1.78457 12.5706 2.8469 -4.11535
262 1 3.59619 13.4488 1.42365 -4.11827
263 1 4.50272 11.6361 2.84004 -4.12516
264 1 6.32183 12.5187 1.41783 -4.1306
346 1 5.41006 14.327 2.83706 -4.11669
267 1 9.01759 11.5975 1.38398 -3.99786
268 1 8.14998 13.399 2.83974 -4.08319
354 1 9.95483 14.2806 1.47454 -3.96944
173 1 12.1553 14.2567 3.56328 -3.84132
271 1 12.9748 11.772 1.06038 -3.84133
272 1 10.9287 12.3086 2.63364 -3.97599
955 1 12.1553 14.2567 0.726232 -3.84132
273 1 14.2015 13.7202 1.99 -3.97603
276 1 15.1752 11.748 3.14903 -3.96936
277 1 15.1752 11.748 0.311981 -3.96936
358 1 16.1127 14.4313 3.23956 -3.99799
359 1 16.1127 14.4313 0.402511 -3.99799
275 1 16.98 12.6296 1.78382 -4.08298
280 1 19.7209 11.7022 1.78649 -4.11779
281 1 18.8078 13.5097 3.20573 -4.12998
282 1 18.8078 13.5097 0.368683 -4.12998
364 1 20.6261 14.3918 1.78353 -4.1233
284 1 21.5362 12.5813 3.1999 -4.12104
287 1 21.5362 12.5813 0.362849 -4.12104
285 1 23.3522 13.461 1.77659 -4.12145
286 1 24.2601 11.6493 3.19273 -4.12199
288 1 24.2601 11.6493 0.355683 -4.12199
291 1 26.0767 12.5294 1.76947 -4.12185
371 1 25.1686 14.3409 3.19037 -4.12167
372 1 25.1686 14.3409 0.353318 -4.12167
292 1 28.8014 11.5979 1.76237 -4.12177
294 1 27.8932 13.4093 3.18326 -4.12181
296 1 27.8932 13.4093 0.346211 -4.12181
376 1 29.7097 14.2893 1.76 -4.12179
