ITEM: TIMESTEP
13225
ITEM: NUMBER OF ATOMS
2927
ITEM: BOX BOUNDS pp pp pp
-2.0174776239694991e+00 1.3559208562396901e+02
1.7541432723851027e-02 2.2244893567276108e+01
7.8240202608196047e-03 1.0552175979739211e+01
ITEM: ATOMS id type x y z c_eng
1526 1 124.225 4.17914 2.08989 -4.44988
2502 1 125.895 4.72558 0.332502 -4.44969
1598 1 127.566 5.27216 2.08989 -4.44956
2504 1 128.123 3.60183 0.332502 -4.44957
2575 1 129.24 5.81774 0.332502 -4.45023
1532 1 129.793 4.14918 2.08989 -4.44682
2508 1 131.468 4.69281 0.332502 -4.43607
1601 1 130.915 6.36001 2.08989 -4.44993
1606 1 133.156 5.22819 2.08989 -4.3377
2510 1 133.727 3.57603 0.332502 -4.2371
2578 1 134.766 5.7355 0.332502 -4.19289
141 1 0.470253 6.80011 0.332502 -4.31837
142 1 -0.113002 8.48075 2.08989 -4.24515
143 1 -1.74775 7.96469 0.332502 -4.18994
144 1 3.52437 6.75433 0.332502 -4.35604
145 1 1.99137 7.3328 2.08989 -4.15687
146 1 1.98949 9.11404 0.332502 -4.48515
147 1 4.09932 8.41461 2.08989 -4.35404
148 1 5.7854 7.83403 0.332502 -4.44291
149 1 6.34976 9.49679 2.08989 -4.43718
150 1 9.14241 6.69636 0.332502 -4.4506
151 1 7.47401 7.2699 2.08989 -4.44419
152 1 8.02402 8.92822 0.332502 -4.45016
153 1 9.70174 8.36025 2.08989 -4.44876
154 1 11.3746 7.78971 0.332502 -4.44992
155 1 11.9328 9.45244 2.08989 -4.44955
156 1 13.0484 7.22011 2.08989 -4.44988
157 1 14.7226 6.65062 0.332502 -4.44984
158 1 13.6067 8.88263 0.332502 -4.44981
159 1 15.2807 8.31304 2.08989 -4.44984
160 1 16.9548 7.7435 0.332502 -4.44982
161 1 17.5129 9.40592 2.08989 -4.44982
162 1 18.629 7.17395 2.08989 -4.44981
163 1 20.3031 6.60438 0.332502 -4.44981
164 1 19.187 8.83636 0.332502 -4.44982
165 1 20.8612 8.26681 2.08989 -4.44981
166 1 22.5353 7.69724 0.332502 -4.44981
167 1 23.0933 9.35967 2.08989 -4.44981
169 1 24.2094 7.12768 2.08989 -4.44981
168 1 24.7675 8.79011 0.332502 -4.44981
99 1 25.8836 6.55812 0.332502 -4.44981
170 1 26.4416 8.22055 2.08989 -4.44981
171 1 28.1158 7.65099 0.332502 -4.44981
172 1 28.6738 9.31341 2.08989 -4.44981
173 1 29.7899 7.08143 2.08989 -4.44981
174 1 30.348 8.74385 0.332502 -4.44981
105 1 31.4641 6.51188 0.332502 -4.44981
175 1 32.0221 8.17429 2.08989 -4.44981
176 1 33.6963 7.60474 0.332502 -4.44981
177 1 34.2543 9.26715 2.08989 -4.44981
178 1 35.3705 7.03519 2.08989 -4.44981
179 1 35.9285 8.6976 0.332502 -4.44981
109 1 37.0446 6.46565 0.332502 -4.44982
180 1 37.6027 8.12806 2.08989 -4.44981
181 1 39.2768 7.55853 0.332502 -4.44981
182 1 39.8349 9.22093 2.08989 -4.44981
183 1 40.951 6.989 2.08989 -4.44982
184 1 41.5091 8.65141 0.332502 -4.44981
115 1 42.6252 6.41947 0.332502 -4.44982
185 1 43.1833 8.08189 2.08989 -4.44982
186 1 44.8575 7.51238 0.332502 -4.44982
187 1 45.4156 9.17478 2.08989 -4.44982
188 1 46.5317 6.94286 2.08989 -4.44983
189 1 47.0898 8.60529 0.332502 -4.44982
121 1 48.2058 6.37331 0.332502 -4.44983
190 1 48.764 8.03579 2.08989 -4.44983
191 1 50.4381 7.46624 0.332502 -4.44983
192 1 50.9964 9.12876 2.08988 -4.44985
194 1 52.6705 8.55921 0.332502 -4.44983
195 1 52.112 6.89661 2.0899 -4.44982
196 1 54.3443 7.98956 2.08989 -4.44979
197 1 56.0182 7.41986 0.332502 -4.44987
198 1 56.5764 9.08263 2.0898 -4.44968
200 1 57.6918 6.85045 2.09 -4.45024
201 1 58.2505 8.51303 0.332502 -4.44987
202 1 59.9249 7.94481 2.09004 -4.45142
204 1 61.5921 7.37349 0.332502 -4.44695
205 1 62.162 9.04174 2.08952 -4.45103
206 1 63.2563 6.79985 2.09097 -4.41245
207 1 63.8163 8.46352 0.332502 -4.41997
208 1 65.4799 7.86707 2.09021 -4.29734
1608 1 67.6438 9.05132 2.08514 -4.28025
2511 1 67.095 7.31843 0.332502 -4.20551
1538 1 68.6766 6.75514 2.09127 -4.2929
2583 1 69.3079 8.47078 0.332502 -4.33923
1541 1 70.8348 7.8891 2.08492 -4.16233
2586 1 71.9916 9.39259 0.332502 -4.49378
1542 1 73.0913 7.82088 2.0886 -4.16905
1544 1 75.2316 6.66533 2.08977 -4.40706
2588 1 74.6399 8.37262 0.332502 -4.37731
1616 1 76.3136 8.89931 2.08945 -4.43906
2520 1 76.8755 7.22949 0.332502 -4.45167
1547 1 78.5449 7.77322 2.08981 -4.45051
2593 1 77.9876 9.44342 0.332502 -4.44957
1549 1 80.7747 6.64837 2.08985 -4.45008
2594 1 80.2171 8.31865 0.332502 -4.45009
1622 1 81.8891 8.86446 2.08987 -4.44962
2525 1 82.4459 7.19437 0.332502 -4.44988
1552 1 84.1173 7.74043 2.08989 -4.44977
2599 1 83.5601 9.41075 0.332502 -4.44982
2600 1 85.7884 8.28663 0.332502 -4.44982
1554 1 86.3455 6.61639 2.08989 -4.44981
1627 1 87.4596 8.83278 2.0899 -4.44983
2530 1 88.0167 7.16259 0.332502 -4.44982
1557 1 89.6879 7.70876 2.08989 -4.44982
2604 1 89.1309 9.37891 0.332502 -4.44982
2536 1 91.3591 8.25493 0.332502 -4.44982
1559 1 91.9162 6.58475 2.08989 -4.44982
1633 1 93.0303 8.8011 2.08989 -4.44982
2535 1 93.5874 7.13094 0.332502 -4.44982
1562 1 95.2585 7.67713 2.08989 -4.44982
2609 1 94.7016 9.3473 0.332502 -4.44982
1565 1 97.4867 6.55316 2.08989 -4.44982
2542 1 96.9297 8.22334 0.332502 -4.44982
1638 1 98.6009 8.76955 2.08989 -4.44982
2541 1 99.1579 7.09937 0.332502 -4.44982
